coin,window_label,window_seconds,threshold_cents,sample_size,wins,win_rate_pct,avg_entry_price_cents,avg_profit_per_contract_cents,ev_per_trade_cents,ev_per_1_dollar_risked_cents,tradeable_rate_pct,dry_up_rate_pct,projected_bankroll_after_300
ETH,T-5m,300,92,127,123,96.8503937007874,96.49133858267717,0.12496850393700955,0.12496850393700955,0.12290727436537259,83.46456692913385,21.25984251968504,109.87558301522836
ETH,T-60s,60,96,234,233,99.57264957264957,99.45641025641025,0.07923504273504298,0.07923504273504298,0.07234357356002163,10.256410256410255,91.02564102564102,106.08583481487175
ETH,T-3m,180,88,215,209,97.20930232558139,97.15255813953488,-0.13219069767441738,-0.13219069767441738,-0.12889928185776034,56.27906976744186,47.44186046511628,89.96124792858227
ETH,T-4m,240,88,184,177,96.19565217391305,96.14510869565218,-0.1994782608695646,-0.1994782608695646,-0.23331051698572436,71.19565217391305,30.434782608695656,84.95019686211822
ETH,T-5m,300,90,144,138,95.83333333333334,95.82986111111111,-0.2690416666666655,-0.2690416666666655,-0.3148232355970314,85.41666666666666,18.75,80.54930597883889
ETH,T-3m,180,92,200,195,97.5,97.6805,-0.3355499999999987,-0.3355499999999987,-0.3471080683059095,53.0,51.0,77.08579479733714
ETH,T-3m,180,96,159,156,98.11320754716981,98.6062893081761,-0.5855345911949679,-0.5855345911949679,-0.6320762375487277,40.88050314465409,64.15094339622641,63.87917367978051
ETH,T-4m,240,90,168,162,96.42857142857143,96.86726190476192,-0.6412738095238089,-0.6412738095238089,-0.7289850143960093,68.45238095238095,33.33333333333333,60.422709254747005
ETH,T-4m,240,92,157,152,96.81528662420382,97.31719745222931,-0.6762866242038207,-0.6762866242038207,-0.7659036079661754,66.2420382165605,35.6687898089172,59.01405770014937
ETH,T-5m,300,98,47,46,97.87234042553192,98.68297872340426,-0.8999999999999987,-0.8999999999999987,-0.9226185839223441,55.319148936170215,55.319148936170215,50.386298449605526
ETH,T-3m,180,94,182,177,97.25274725274726,98.15164835164836,-1.020247252747251,-1.020247252747251,-1.0829688768903707,48.35164835164835,56.043956043956044,45.6555488208573
ETH,T-5m,300,88,151,143,94.70198675496688,95.50662251655629,-1.090476821192052,-1.090476821192052,-1.2362596003593822,86.09271523178808,17.880794701986755,42.01953084373625
