rule,action,window_label,min_favorite_price_cents,max_spread_cents,lookback_minutes,momentum_filter,min_abs_return_bps,train_sample_size,train_win_rate_pct,train_mean_pnl_cents,train_mean_pnl_ci_low_cents,train_mean_pnl_ci_high_cents,train_wilson_lower_pct,test_sample_size,test_win_rate_pct,test_mean_pnl_cents,test_mean_pnl_ci_low_cents,test_mean_pnl_ci_high_cents,test_wilson_lower_pct,test_avg_entry_price_cents,train_score,test_score
follow_favorite | T-3m | favorite>=0.60 | spread<=0.05 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,60.0,5.0,1,confirm,0,87,100.0,7.761758620689655,5.608207420336873,9.915309821042435,95.77110046498521,35,100.0,6.079542857142857,3.2373509729269,8.921734741358817,90.10957324106113,93.46285714285715,0.056082074203368734,0.032373509729269
follow_favorite | T-60s | favorite>=0.92 | spread<=0.08 | mom5m=confirm | |ret|>=0bps,follow_favorite,T-60s,92.0,8.0,5,confirm,0,97,100.0,0.343237113402062,0.13254885999791727,0.5539253668062069,96.19046107955445,41,100.0,0.4831463414634151,0.12490873390513797,0.841383949021692,91.43295511310926,99.48048780487805,0.0013254885999791728,0.0012490873390513797
follow_favorite | T-60s | favorite>=0.94 | spread<=0.03 | mom5m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,3.0,5,confirm,0,96,100.0,0.26931250000000023,0.11475402901541736,0.42387097098458315,96.15230525151841,41,100.0,0.4831463414634151,0.12490873390513797,0.841383949021692,91.43295511310926,99.48048780487805,0.0011475402901541735,0.0012490873390513797
follow_favorite | T-60s | favorite>=0.94 | spread<=0.05 | mom5m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,5.0,5,confirm,0,96,100.0,0.26931250000000023,0.11475402901541736,0.42387097098458315,96.15230525151841,41,100.0,0.4831463414634151,0.12490873390513797,0.841383949021692,91.43295511310926,99.48048780487805,0.0011475402901541735,0.0012490873390513797
follow_favorite | T-60s | favorite>=0.94 | spread<=0.08 | mom5m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,8.0,5,confirm,0,96,100.0,0.26931250000000023,0.11475402901541736,0.42387097098458315,96.15230525151841,41,100.0,0.4831463414634151,0.12490873390513797,0.841383949021692,91.43295511310926,99.48048780487805,0.0011475402901541735,0.0012490873390513797
follow_favorite | T-2m | favorite>=0.70 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,70.0,3.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.70 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,70.0,5.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.70 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,70.0,8.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.80 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,80.0,3.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.80 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,80.0,5.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.80 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,80.0,8.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
