ticker,open_time,close_time,result,window_label,window_seconds,cutoff_time,snapshot_ts,yes_bid,yes_ask,favorite_side,favorite_entry_price,favorite_price_cents,spread,spread_cents,favorite_won,favorite_pnl,btc_price,btc_ret_1m_bps,btc_ret_3m_bps,btc_ret_5m_bps,kalshi_volume_fp,kalshi_open_interest_fp,favorite_matches_btc_1m,favorite_matches_btc_3m,favorite_matches_btc_5m,market_sequence
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-60s,60,2026-04-08 18:14:00+00:00,2026-04-08 18:14:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71720.37,-1.1738661700555486,-1.4916827533750787,-11.709580673621156,1980.1,67504.68,True,True,True,5
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-90s,90,2026-04-08 18:13:30+00:00,2026-04-08 18:13:00+00:00,0.0,0.003,no,1.0,100.0,0.003,0.3,True,0.0,71728.79,7.166831618659053,-2.6258707082049693,-16.553065288642532,10662.14,65909.28,False,True,True,5
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-2m,120,2026-04-08 18:13:00+00:00,2026-04-08 18:13:00+00:00,0.0,0.003,no,1.0,100.0,0.003,0.3,True,0.0,71728.79,7.166831618659053,-2.6258707082049693,-16.553065288642532,10662.14,65909.28,False,True,True,5
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-3m,180,2026-04-08 18:12:00+00:00,2026-04-08 18:12:00+00:00,0.004,0.005,no,0.996,99.6,0.001,0.1,True,0.0037200000000000033,71677.42,-7.479325207334631,-17.69110410287933,-26.133639313475896,8870.58,61291.07,True,True,True,5
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-4m,240,2026-04-08 18:11:00+00:00,2026-04-08 18:11:00+00:00,0.01,0.011,no,0.99,99.0,0.0009999999999999992,0.09999999999999992,True,0.009300000000000008,71731.07,-2.308090176637023,-16.235727452450497,-14.932137908529874,26942.59,55820.44,True,True,True,5
KXBTC15M-26APR081415-15,2026-04-08 18:00:00+00:00,2026-04-08 18:15:00+00:00,no,T-5m,300,2026-04-08 18:10:00+00:00,2026-04-08 18:10:00+00:00,0.07,0.073,no,0.9299999999999999,93.0,0.002999999999999989,0.2999999999999989,True,0.06510000000000005,71747.63,-7.913158585574065,-16.363963491106137,-15.630403305316731,14506.57,46672.75,True,True,True,5
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-60s,60,2026-04-08 18:29:00+00:00,2026-04-08 18:29:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71399.75,-0.5503918005334008,-2.2544015089098757,-1.28135288458342,1182.9,77109.43,True,True,True,6
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-90s,90,2026-04-08 18:28:30+00:00,2026-04-08 18:28:00+00:00,0.001,0.002,no,0.999,99.9,0.001,0.1,True,0.0009300000000000008,71403.68,-0.054618735320088874,10.883821549068085,5.84204560438728,3343.01,75959.53,True,False,False,6
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-2m,120,2026-04-08 18:28:00+00:00,2026-04-08 18:28:00+00:00,0.001,0.002,no,0.999,99.9,0.001,0.1,True,0.0009300000000000008,71403.68,-0.054618735320088874,10.883821549068085,5.84204560438728,3343.01,75959.53,True,False,False,6
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-3m,180,2026-04-08 18:27:00+00:00,2026-04-08 18:27:00+00:00,0.001,0.003,no,0.999,99.9,0.002,0.2,True,0.0009300000000000008,71404.07,-1.6494937748412486,-0.6763862767789064,-5.011207327223488,14129.41,73027.52,True,True,True,6
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-4m,240,2026-04-08 18:26:00+00:00,2026-04-08 18:26:00+00:00,0.001,0.003,no,0.999,99.9,0.002,0.2,True,0.0009300000000000008,71415.85,12.590070528228914,7.547435266308522,0.3136657004176868,5535.7,59999.11,False,False,False,6
