coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR062200-00,2026-04-07 02:00:00+00:00,no,T-60s,60,2026-04-07 01:59:00+00:00,2026-04-07 01:59:00+00:00,0.003,no,0.997,True,True,0.002790000000000002,0.002798395185556672,False,True,99.7,98.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-5m,300,2026-04-07 01:40:00+00:00,2026-04-07 01:40:00+00:00,0.04,no,0.96,True,True,0.03720000000000003,0.038750000000000034,True,False,96.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-4m,240,2026-04-07 01:41:00+00:00,2026-04-07 01:41:00+00:00,0.07,no,0.9299999999999999,True,True,0.06510000000000005,0.07000000000000005,True,False,93.0,92.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-3m,180,2026-04-07 01:42:00+00:00,2026-04-07 01:42:00+00:00,0.06,no,0.94,True,True,0.055800000000000044,0.05936170212765962,True,False,94.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-2m,120,2026-04-07 01:43:00+00:00,2026-04-07 01:43:00+00:00,0.021,no,0.979,True,True,0.019530000000000016,0.019948927477017382,True,False,97.89999999999999,96.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-90s,90,2026-04-07 01:43:30+00:00,2026-04-07 01:43:00+00:00,0.021,no,0.979,True,True,0.019530000000000016,0.019948927477017382,True,False,97.89999999999999,96.0
SOL,KXSOL15M,KXSOL15M-26APR062145-45,2026-04-07 01:45:00+00:00,no,T-60s,60,2026-04-07 01:44:00+00:00,2026-04-07 01:44:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-5m,300,2026-04-07 01:25:00+00:00,2026-04-07 01:25:00+00:00,0.97,yes,0.97,True,True,0.027900000000000022,0.02876288659793817,True,False,97.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-4m,240,2026-04-07 01:26:00+00:00,2026-04-07 01:26:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-3m,180,2026-04-07 01:27:00+00:00,2026-04-07 01:27:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-2m,120,2026-04-07 01:28:00+00:00,2026-04-07 01:28:00+00:00,0.994,yes,0.994,True,True,0.005580000000000004,0.005613682092555337,False,True,99.4,98.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-90s,90,2026-04-07 01:28:30+00:00,2026-04-07 01:28:00+00:00,0.994,yes,0.994,True,True,0.005580000000000004,0.005613682092555337,False,True,99.4,98.0
SOL,KXSOL15M,KXSOL15M-26APR062130-30,2026-04-07 01:30:00+00:00,yes,T-60s,60,2026-04-07 01:29:00+00:00,2026-04-07 01:29:00+00:00,0.997,yes,0.997,True,True,0.002790000000000002,0.002798395185556672,False,True,99.7,98.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-5m,300,2026-04-07 01:10:00+00:00,2026-04-07 01:10:00+00:00,0.05,no,0.95,True,True,0.04650000000000004,0.04894736842105268,True,False,95.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-4m,240,2026-04-07 01:11:00+00:00,2026-04-07 01:11:00+00:00,0.04,no,0.96,True,True,0.03720000000000003,0.038750000000000034,True,False,96.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-3m,180,2026-04-07 01:12:00+00:00,2026-04-07 01:12:00+00:00,0.02,no,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-2m,120,2026-04-07 01:13:00+00:00,2026-04-07 01:13:00+00:00,0.012,no,0.988,True,True,0.011160000000000008,0.011295546558704463,True,False,98.8,98.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-90s,90,2026-04-07 01:13:30+00:00,2026-04-07 01:13:00+00:00,0.012,no,0.988,True,True,0.011160000000000008,0.011295546558704463,True,False,98.8,98.0
SOL,KXSOL15M,KXSOL15M-26APR062115-15,2026-04-07 01:15:00+00:00,no,T-60s,60,2026-04-07 01:14:00+00:00,2026-04-07 01:14:00+00:00,0.001,no,0.999,True,True,0.0009300000000000008,0.0009309309309309318,False,True,99.9,98.0
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-5m,300,2026-04-07 00:55:00+00:00,2026-04-07 00:55:00+00:00,0.96,yes,0.96,True,True,0.03720000000000003,0.038750000000000034,True,False,96.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-4m,240,2026-04-07 00:56:00+00:00,2026-04-07 00:56:00+00:00,0.97,yes,0.97,True,True,0.027900000000000022,0.02876288659793817,True,False,97.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-3m,180,2026-04-07 00:57:00+00:00,2026-04-07 00:57:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
